competition,result,round,group,rane,finish,athlete_id,tournament_id,grade,established_date,information,condition,official
man_800m,116800,記録会,"","","",15,3,,1999-11-28,,,true
man_5000m,938500,,"","","",25,4,,2001-01-01,,,true
man_5000m,946490,,"","","",27,5,,2001-01-01,,,true
woman_800m,162330,,"","","",28,6,,2001-01-01,,,true
man_5000m,946600,,"","","",25,5,,2001-01-01,,,true
man_5000m,948940,予選,"","","",130,7,,2001-01-01,,,true
man_5000m,951200,,"","","",27,5,,2001-01-01,,,true
man_5000m,952000,,"","","",27,4,,2001-01-01,,,true
man_5000m,958610,,"","","",131,5,,2001-01-01,,,true
man_1500m,246990,決勝,"","","",23,7,,2001-01-01,,,true
man_5000m,963100,,"","","",131,5,,2001-01-01,,,true
man_5000m,963100,予選,"","","",25,7,,2001-01-01,,,true
woman_800m,153000,,"","","",28,4,,2001-01-01,,,true
man_5000m,964980,予選,"","","",27,9,,2001-01-01,,,true
man_1500m,248900,記録会,"","","",130,10,,2001-01-01,,,true
man_1500m,248900,,"","","",130,10,,2001-01-01,,,true
man_5000m,967000,,"","","",23,4,,2001-01-01,,,true
man_5000m,967700,,"","","",131,8,,2001-01-01,,,true
woman_800m,152860,予選,"","","",28,7,,2001-01-01,,,true
woman_800m,155520,決勝,"","","",28,7,,2001-01-01,,,true
man_5000m,968780,,"","","",25,6,,2001-01-01,,,true
man_5000m,978480,OP,"","","",27,7,,2001-01-01,,,true
man_10000m,2016100,決勝,"","","",25,9,,2001-01-01,,,true
man_3000mSC,585070,予選,"","","",23,9,,2001-01-01,,,true
man_3000mSC,606610,決勝,"","","",23,9,,2001-01-01,,,true
woman_800m,156560,予選,"","","",28,9,,2001-01-01,,,true
man_800m,120500,準決勝,"","","",36,9,,2001-01-01,,,true
man_1500m,250200,,"","","",23,11,,2001-01-01,,,true
man_5000m,980580,,"","","",27,6,,2001-01-01,,,true
man_5000m,982350,決勝,"","","",130,12,,2001-01-01,,,true
woman_800m,157820,決勝,"","","",28,13,,2001-01-01,,,true
man_5000m,985080,,"","","",36,5,,2001-01-01,,,true
man_5000m,985770,,"","","",35,5,,2001-01-01,,,true
man_5000m,986220,予選,"","","",131,7,,2001-01-01,,,true
man_5000m,986660,,"","","",21,5,,2001-01-01,,,true
man_5000m,986760,,"","","",27,10,,2001-01-01,,,true
man_5000m,988090,,"","","",25,5,,2001-01-01,,,true
