competition,result,wind,round,group,rane,finish,athlete_id,tournament_id,grade,established_date,information,condition,official
woman_100m,14500,0.1,,"","","",28,8,,2001-01-01,,,true
woman_100m,14400,0.3,,"","","",28,4,,2001-01-01,,,true
woman_400m,66600,"",,"","","",28,4,,2001-01-01,,,true
woman_100m,14450,2.5,予選,"","","",28,7,,2001-01-01,,,false
woman_100m,14580,0.7,予選,"","","",28,9,,2001-01-01,,,true
woman_200m,29850,0.6,予選,"","","",28,9,,2001-01-01,,,true
woman_100m,14420,0.4,予選,"","","",28,13,,2001-01-01,,,true
woman_100m,14520,1.4,決勝,"","","",28,13,,2001-01-01,,,true
man_200m,22870,"",予選,"","","",33,13,,2001-01-01,,,true
woman_200m,29850,0.6,予選,"","","",28,9,,2001-01-01,,,true
man_200m,22900,1.9,決勝,"","","",33,13,,2001-01-01,,,true
man_200m,22990,2.7,準決勝,"","","",18,7,,2001-01-01,,,false
man_200m,23000,1,,"","","",18,8,,2001-01-01,,,true
man_200m,23000,1.1,,"","","",33,8,,2001-01-01,,,true
man_200m,23000,1.4,,"","","",33,4,,2001-01-01,,,true
man_200m,23070,-0.7,予選,"","","",18,12,,2001-01-01,,,true
man_400m,51010,"",準決勝,"","","",29,7,,2001-01-01,,,true
man_200m,23090,3.3,予選,"","","",18,13,,2001-01-01,,,false
man_200m,23100,0.8,,"","","",29,4,,2001-01-01,,,true
man_400m,51050,"",予選,"","","",29,9,,2001-01-01,,,true
man_200m,23110,1.1,予選,"","","",33,9,,2001-01-01,,,true
man_400m,51200,"",,"","","",29,8,,2001-01-01,,,true
man_200m,23140,1.8,準決勝,"","","",20,7,,2001-01-01,,,true
man_400m,51200,"",,"","","",18,4,,2001-01-01,,,true
man_200m,23160,1.6,予選,"","","",20,9,,2001-01-01,,,true
man_400m,51200,"",決勝,"","","",29,7,,2001-01-01,,,true
man_200m,23170,1.9,決勝,"","","",18,13,,2001-01-01,,,true
man_100m,11210,2.2,予選,"","","",18,9,,2001-01-01,,,false
man_100m,11220,2.6,OP,"","","",33,7,,2001-01-01,,,false
man_200m,23230,"",決勝,"","","",33,7,,2001-01-01,,,true
man_200m,23230,"",予選,"","","",20,13,,2001-01-01,,,true
man_100m,11230,1.1,OP,"","","",33,9,,2001-01-01,,,true
man_400m,51390,"",決勝,"","","",29,12,,2001-01-01,,,true
man_400m,51430,"",準決勝,"","","",29,9,,2001-01-01,,,true
man_100m,11320,1.7,準決勝,"","","",18,9,,2001-01-01,,,true
man_100m,11370,3.3,準決勝,"","","",18,7,,2001-01-01,,,false
man_100m,11370,"",OP,"","","",33,13,,2001-01-01,,,true
man_100m,11380,1.2,予選,"","","",18,7,,2001-01-01,,,true
man_100m,11380,1.4,予選,"","","",40,7,,2001-01-01,,,true
man_200m,23280,1.9,決勝,"","","",20,13,,2001-01-01,,,true
man_100m,11400,0.1,,"","","",18,8,,2001-01-01,,,true
man_100m,11400,0.1,,"","","",33,8,,2001-01-01,,,true
man_100m,11400,1.8,,"","","",18,4,,2001-01-01,,,true
man_200m,23300,2.5,,"","","",20,8,,2001-01-01,,,false
man_200m,23300,0.1,,"","","",29,8,,2001-01-01,,,true
man_200m,23300,0.9,,"","","",20,4,,2001-01-01,,,true
man_400m,51760,"",決勝,"","","",29,13,,2001-01-01,,,true
man_400m,51790,"",予選,"","","",29,12,,2001-01-01,,,true
man_100m,11400,1.8,,"","","",33,4,,2001-01-01,,,true
