id,name,place,start_day,end_day
1,JDTオープニングフェスタ,夢の島,1998-04-01,1998-04-01
2,関東学生陸上競技対校選手権大会,横浜国際,1998-05-17,1998-05-17
3,日本体育大学長距離競技会,日体大,1999-11-28,1999-11-28
4,東大記録会,,2001-01-01,2001-01-01
5,日体大長距離競技会,,2001-01-01,2001-01-01
6,第1回　東京学芸大記録会,,2001-01-01,2001-01-01
7,第33回　関東理工系学生陸上競技大会,,2001-01-01,2001-01-01
8,国士舘記録会,,2001-01-01,2001-01-01
9,第16回　国公立22大学対校陸上競技大会,,2001-01-01,2001-01-01
10,第5回　筑波大競技会,筑波大,2001-01-01,2001-01-01
11,第10回　関東学生競技会,,2001-01-01,2001-01-01
12,第49回　東京地区国公立大学対校陸上競技大会,,2001-01-01,2001-01-01
13,平成13年度　6大学対校陸上競技大会,,2001-01-01,2001-01-01
14,第133回　日体大長距離競技会,,2001-01-01,2001-01-01
15,四大対校陸上競技大会,,2002-04-14,2002-04-14
16,国士舘大学競技会,,2002-04-27,2002-04-28
17,日体大競技会,,2002-05-04,2002-05-04
18,第50回　東京地区国公立大学対校陸上競技大会,,2002-05-25,2002-05-25
19,早稲田大学陸上競技同好会記録会,,2002-06-16,2002-06-16
20,関東学生新人陸上競技選手権大会,,2002-07-06,2002-07-06
21,東海大学長距離記録会（ナイター）,,2002-07-06,2002-07-06
22,エブリバディ・デカスロン記録会部門,,2002-07-07,2002-07-07
23,平成14年度　6大学対校陸上競技大会,,2002-08-10,2002-08-10
24,第34回　関東理工系学生陸上競技大会,,2002-09-21,2002-09-22
25,第17回　国公立22大学対校陸上競技大会,,2002-10-04,2002-10-06
26,第　秋季東大記録会,,2002-11-02,2002-11-03
27,第1回　かわさき陸上競技フェスティバル,,2002-11-03,2002-11-04
28,第11回　関東学生競技会 兼 第6回　国士舘大学競技会,,2002-11-10,2002-11-10
29,第144回　日体大長距離競技会,,2002-11-17,2002-11-17
30,第145回　日体大長距離競技会,,2002-12-01,2002-12-01
31,第147回　日体大長距離競技会,,2003-03-30,2003-03-30
32,第27回　4大学対校陸上競技大会,,2003-04-06,2003-04-06
33,第2回　関東学生競技会,,2003-04-13,2003-04-13
34,第4回　関東学生競技会,,2003-04-26,2003-04-27
35,第149回　日本体育大学長距離競技会,,2003-04-29,2003-04-29
36,第82回　関東学生陸上競技対校選手権大会,,2003-05-16,2003-05-16
37,第51回　東京地区国公立大学対校陸上競技大会,,2003-05-31,2003-05-31
38,第33回　日本体育大学陸上競技会,,2003-06-07,2003-06-07
39,第15回　早稲田大学陸上競技同好会記録会,,2003-06-15,2003-06-15
40,第151回　日本体育大学長距離競技会,,2003-06-29,2003-06-29
41,平成15年度　6大学対校陸上競技大会,,2003-08-09,2003-08-09
42,第35回　関東理工系学生陸上競技大会,,2003-09-20,2003-09-21
43,第18回　全国国公立22大学対校陸上競技大会,,2003-10-03,2003-10-05
44,第4回　国士舘大学競技会,,2003-10-11,2003-10-11
45,第28回　六大学対校陸上競技大会,,2003-11-01,2003-11-01
46,第05回　国士舘大学競技会,,2003-11-09,2003-11-09
47,第154回　日本体育大学長距離競技会,,2003-11-16,2003-11-16
48,長距離競技会,,2003-11-30,2003-11-30
49,4大学対校陸上競技会,,2004-04-04,2004-04-04
50,第三回　関東学生競技会,,2004-04-11,2004-04-11
51,第38回　日本体育大学陸上競技会 兼 第5回　関東学生競技会,,2004-04-24,2004-04-25
52,第158回　日本体育大学長距離競技会,,2004-04-29,2004-04-29
53,第38回　関東学生陸上競技対校選手権大会,,2004-05-14,2004-05-17
54,第52回　東京地区国公立大学対校陸上競技大会,,2004-05-22,2004-05-22
55,学芸大記録会,,2004-06-05,2004-06-05
56,第1回　11大学対校陸上競技大会,上柚木,2004-07-03,2004-07-03
57,第19回　国公立22大学対校陸上競技大会,,2004-09-07,2004-09-09
58,第36回　関東理工系学生陸上競技大会,,2004-09-19,2004-09-20
59,第3回　かわさき陸上競技フェスティバル,,2004-10-16,2004-10-17
60,秋季東京大学記録会,,2004-10-30,2004-10-31
61,第46回　日本体育大学陸上競技会,,2004-11-06,2004-11-07
62,第6回　国士舘大学競技会,,2004-11-07,2004-11-07
63,第25回　関東私学六大学陸上競技大会,,2004-11-13,2004-11-13
64,第164回　日本体育大学長距離競技会,,2004-11-14,2004-11-14
65,第165回　日本体育大学長距離競技会,,2004-11-27,2004-11-28
66,第12回　早稲田大学陸上競技同好会記録挑戦会,,2005-01-09,2005-01-09
67,第6回　所沢市陸上競技選手権大会,,2005-01-10,2005-01-10
68,第4回　かわさき陸上競技フェスティバル,,2005-01-15,2005-01-15
69,第53回　日本体育大学陸上競技会,,2005-01-29,2005-01-29
70,第1回　国士舘大学競技会,,2005-03-31,2005-03-31
71,第167回　日本体育大学長距離競技会,,2005-04-02,2005-04-02
72,春季東京大学記録会,,2005-04-02,2005-04-02
73,第3回　関東学生競技会,,2005-04-17,2005-04-17
74,第168回　日本体育大学長距離競技会,,2005-04-17,2005-04-17
75,第1回　日本大学記録会,,2005-04-23,2005-04-23
76,第?回　日体大記録会,,2005-04-30,2005-04-30
77,第84回　関東学生陸上競技対校選手権大会,,2005-05-08,2005-05-08
78,第53回　東京地区国公立大学対校陸上競技大会,,2005-05-21,2005-05-21
79,第169回　日本体育大学長距離競技会,,2005-05-29,2005-05-29
80,第2回　11大学対校陸上競技大会,,2005-06-18,2005-06-18
81,第171回　日本体育大学長距離競技会,,2005-06-26,2005-06-26
82,第20回　国公立22大学対校陸上競技大会,,2005-09-16,2005-09-16
83,第37回　関東理工系学生陸上競技大会,,2005-09-19,2005-09-19
84,第172回　日体大長距離記録会,日体大,2005-09-24,2005-09-24
85,第16回　関東学生新人陸上競技選手権大会,,2005-09-24,2005-09-24
86,第5回　国士舘大学競技会,,2005-11-06,2005-11-06
87,第174回　日体大長距離記録会,,2005-11-27,2005-11-27
88,第91回　東海大記録会,,2005-12-03,2005-12-03
89,東海大記録会,,2005-12-03,2005-12-03
90,2006横浜インドアオープン競技会,,2006-02-19,2006-02-19
91,関東学連春季オープン競技会,,2006-03-25,2006-03-25
92,第１回　国士舘大学競技会,,2006-03-30,2006-03-30
93,第１回　東京大学競技会,,2006-04-01,2006-04-01
94,第2回　国士舘大学競技会,,2006-04-16,2006-04-16
95,第177回　日本体育大学長距離競技会,,2006-04-16,2006-04-16
96,早稲田大学競技会,,2006-04-23,2006-04-23
97,第178回　日本体育大学長距離競技会,,2006-04-30,2006-04-30
98,第3回　日本体育大学競技会,,2006-05-03,2006-05-03
99,第3回　国士舘大学競技会,,2006-05-05,2006-05-05
100,第85回　関東学生陸上競技対校選手権大会,,2006-05-13,2006-05-13
101,第54回　東京地区国公立対校戦,,2006-05-27,2006-05-27
102,第98回　東海大学長距離記録会,,2006-06-03,2006-06-03
103,第55回　日本体育大学陸上競技大会,,2006-06-03,2006-06-03
104,第3回　12大学対校陸上競技大会,,2006-06-17,2006-06-17
105,群馬県陸上選手権大会,,2006-06-24,2006-06-24
106,第190回　日本体育大学長距離競技会,,2006-06-25,2006-06-25
107,第4回　東京学芸大学競技会,,2006-07-02,2006-07-02
108,関東学生夏季オープン競技会,,2006-08-27,2006-08-27
109,第38回　関東理工系学生陸上競技大会,,2006-09-09,2006-09-09
110,第21回　国公立22大学対校陸上競技大会,,2006-09-29,2006-09-29
111,第5回　かわさき陸上競技フェスティバル,,2006-10-09,2006-10-09
112,第182回　日本体育大学長距離競技会,,2006-10-22,2006-10-22
113,第3回　東京大学競技会,,2006-10-28,2006-10-28
114,第99回　東海大学長距離記録会,,2006-12-02,2006-12-02
115,上尾市陸上競技選手権 冬季大会,,2006-12-23,2006-12-23
116,第4回　東京大学競技会,,2007-03-24,2007-03-24
117,第5回 国士舘大学競技会,,2007-03-30,2007-03-30
118,第185回 日本体育大学長距離競技会,,2007-04-15,2007-04-15
119,第1回 国士舘大学競技会,,2007-04-15,2007-04-15
120,第58回 日本体育大学陸上競技会,,2007-05-03,2007-05-03
121,第4回 N.S.S.Uオープン競技会,,2007-05-04,2007-05-04
122,第102回 東海大学長距離競技会,,2007-05-05,2007-05-05
123,第86回　関東学生陸上競技対校選手権大会,,2007-05-12,2007-05-12
124,第55回 東京地区国公立大学対校陸上競技大会,,2007-05-26,2007-05-26
125,第103回 東海大学長距離記録会,,2007-06-02,2007-06-02
126,第104回 東海大学長距離記録会,,2007-06-23,2007-06-23
127,第189回 日本体育大学長距離競技会,,2007-06-24,2007-06-24
128,第4回 13大学対校陸上競技大会,上柚木公園陸上競技場,2007-06-30,2007-06-30
129,群馬県陸上競技選手権大会,,2007-07-15,2007-07-15
130,島根県記録会,,2007-08-11,2007-08-11
131,第39回 関東理工系学生対校陸上競技大会,,2007-09-08,2007-09-08
132,第39回関東理工系学生対校陸上競技大会,,2007-09-08,2007-09-08
133,第22回 国公立22大学対校陸上競技大会,,2007-09-28,2007-09-28
134,秋季オープン,,2007-10-13,2007-10-13
135,第60回 日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2007-10-13,2007-10-13
136,第190回 日本体育大学長距離競技会,日体大,2007-10-20,2007-10-20
137,第五回 東京大学競技会,東京大学,2007-10-27,2007-10-27
138,第4回 国士舘大学競技会,国士舘大学,2007-11-11,2007-11-11
139,第191回 日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2007-12-01,2007-12-01
140,第140回 松戸市陸上競技記録会,,2007-12-22,2007-12-22
141,第52回調布駅伝大会,,2008-01-27,2008-01-27
142,第4回関東学連クロスカントリーオープン競技会,,2008-02-16,2008-02-16
143,立川・昭島マラソン,,2008-03-09,2008-03-09
144,越谷市春季記録会,,2008-03-22,2008-03-22
145,東京大学競技会,,2008-03-22,2008-03-22
146,第5回国士舘大学競技会,,2008-03-27,2008-03-27
147,埼玉県春季記録会,,2008-04-13,2008-04-13
148,第1回早稲田大学競技会,早稲田大学織田幹雄記念陸上競技場,2008-04-20,2008-04-20
149,第61回日本体育大学競技会,日体大,2008-05-03,2008-05-03
150,越谷市陸上記録会,越谷市立しらこばと運動公園競技場,2008-05-04,2008-05-04
151,平成国際大学競技会,大東文化大学陸上競技場,2008-05-04,2008-05-04
152,第194回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2008-05-05,2008-05-05
153,第87回関東学生陸上競技対校選手権大会,平塚市総合公園平塚競技場,2008-05-17,2008-05-17
154,東日本実業団,熊谷スポーツ文化公園陸上競技場,2008-05-17,2008-05-17
155,東京地区国公立大学対校陸上競技大会,八王子市立柚木公園陸上競技場,2008-05-31,2008-05-31
156,日本学生陸上競技個人選手権大会,平塚市総合公園平塚競技場,2008-06-07,2008-06-07
157,第8回八大学対校陸上競技大会,,2008-06-08,2008-06-08
158,第63回埼玉県陸上競技選手権大会,熊谷スポーツ文化公園陸上競技場,2008-06-08,2008-06-08
159,第5回14大学対校陸上競技大会,,2008-06-28,2008-06-28
160,第113回東海大学ナイター記録会,東海大学湘南校舎陸上競技場,2008-07-05,2008-07-05
161,第114回東海大学ナイター記録会,東海大学湘南校舎陸上競技場,2008-07-12,2008-07-12
162,越谷選手権,越谷市立しらこばと運動公園競技場,2008-08-09,2008-08-09
163,第81回関東陸上競技選手権大会,,2008-08-24,2008-08-24
164,N.S.S.Uオープン競技会,日本体育大学健志台陸上競技場,2008-08-30,2008-08-30
165,横浜ナイター競技会,横浜市三ツ沢公園陸上競技場,2008-09-06,2008-09-06
166,鴻巣市陸上競技選手権大会,鴻巣市立陸上競技場,2008-09-07,2008-09-07
167,第19回関東学生新人陸上競技選手権大会,国立競技場,2008-09-20,2008-09-20
168,第23回国公立23大学対校陸上競技大会,,2008-09-26,2008-09-26
169,第23回国さむ公立23大学対校陸上競技大会,,2008-09-26,2008-09-26
170,全日本実業団,,2008-09-28,2008-09-28
171,第7回順天堂大学競技会,順天堂大学陸上競技場,2008-10-04,2008-10-04
172,県下クラブ対抗戦,,2008-10-05,2008-10-05
173,かわさき陸上フェスティバル,等々力,2008-10-09,2008-10-09
174,第７回かわさき陸上競技フェスティバル,等々力,2008-10-19,2008-10-19
175,第198回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2008-10-26,2008-10-26
176,第7回東京大学競技会,東京大学教養学部第一グラウンド,2008-11-08,2008-11-08
177,第7回国士舘大学競技会,国士舘大学,2008-11-09,2008-11-09
178,第7回23大学対校駅伝,,2008-11-24,2008-11-24
179,第177回東海大学記録会,東海大学湘南校舎陸上競技場,2008-11-30,2008-11-30
180,第200回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2008-12-13,2008-12-13
181,第9回荒川河川敷大学対校駅伝,荒川河川敷,2008-12-21,2008-12-21
182,2008上尾市陸上競技選手権冬季大会,上尾運動公園陸上競技場,2008-12-23,2008-12-23
183,第53回調布市民駅伝競走大会,調布市役所,2009-01-25,2009-01-25
184,第5回関東学生クロスカントリーオープン競技会,東京大学検見川総合運動場,2009-02-14,2009-02-14
185,第28回立川・昭島マラソン,昭和記念公園,2009-03-08,2009-03-08
186,第8回国士舘大学競技会,国士舘大学,2009-03-21,2009-03-21
187,佐倉朝日健康マラソン,岩名運動公園,2009-03-29,2009-03-29
188,第2回筑波大競技会,筑波大学,2009-04-18,2009-04-18
189,第2回国士舘大学競技会,国士舘大学,2009-05-03,2009-05-03
190,越谷陸上競技記録会,,2009-05-04,2009-05-04
191,第4回日本大学競技会,,2009-05-06,2009-05-06
192,第88回関東学生陸上競技選手権大会,,2009-05-16,2009-05-16
